startSnipped,endSnipped,startEnc,endEnc,encDur,encN,startNumEnc,endNumEnc
28-May-2022 08:16:21,28-May-2022 10:30:41,28-May-2022 09:16:21,28-May-2022 09:30:41,00:14:20,1,738669.386358732,738669.396317058
28-May-2022 10:06:55,28-May-2022 12:41:44,28-May-2022 11:06:55,28-May-2022 11:41:44,00:34:48,2,738669.463143294,738669.487320844
28-May-2022 12:24:17,28-May-2022 14:44:38,28-May-2022 13:24:17,28-May-2022 13:44:38,00:20:21,3,738669.558532284,738669.572673463
28-May-2022 14:31:21,28-May-2022 16:58:53,28-May-2022 15:31:21,28-May-2022 15:58:53,00:27:32,4,738669.646775213,738669.665901011
28-May-2022 17:20:35,28-May-2022 20:01:22,28-May-2022 18:20:35,28-May-2022 19:01:22,00:40:46,5,738669.764304858,738669.792625797
28-May-2022 20:40:19,28-May-2022 23:26:51,28-May-2022 21:40:19,28-May-2022 22:26:51,00:46:31,6,738669.903005908,738669.935318031
28-May-2022 22:47:12,29-May-2022 00:58:30,28-May-2022 23:47:12,28-May-2022 23:58:30,00:11:17,7,738669.991121237,738669.998958551
29-May-2022 02:45:05,29-May-2022 05:37:57,29-May-2022 03:45:05,29-May-2022 04:37:57,00:52:52,8,738670.156312733,738670.193028248
29-May-2022 05:10:02,29-May-2022 07:30:40,29-May-2022 06:10:02,29-May-2022 06:30:40,00:20:38,9,738670.256968368,738670.271298711
29-May-2022 09:52:59,29-May-2022 12:09:59,29-May-2022 10:52:59,29-May-2022 11:09:59,00:16:59,11,738670.453470508,738670.465267672
29-May-2022 11:31:01,29-May-2022 13:55:18,29-May-2022 12:31:01,29-May-2022 12:55:18,00:24:17,12,738670.521545669,738670.538413179
29-May-2022 13:28:14,29-May-2022 16:34:07,29-May-2022 14:28:14,29-May-2022 15:34:07,01:05:52,13,738670.60294729,738670.64869357
29-May-2022 16:49:02,29-May-2022 19:20:36,29-May-2022 17:49:02,29-May-2022 18:20:36,00:31:33,14,738670.742394978,738670.764308859
30-May-2022 20:28:43,30-May-2022 22:56:32,30-May-2022 21:28:43,30-May-2022 21:56:32,00:27:48,16,738671.894949839,738671.914262829
30-May-2022 22:52:41,31-May-2022 01:45:44,30-May-2022 23:52:41,31-May-2022 00:45:44,00:53:02,18,738671.994919958,738672.031759491
31-May-2022 06:20:02,31-May-2022 08:49:59,31-May-2022 07:20:02,31-May-2022 07:49:59,00:29:57,19,738672.305579,738672.326379608
31-May-2022 09:55:19,31-May-2022 12:09:36,31-May-2022 10:55:19,31-May-2022 11:09:36,00:14:16,20,738672.455091016,738672.465005614
31-May-2022 13:53:20,31-May-2022 16:34:16,31-May-2022 14:53:20,31-May-2022 15:34:16,00:40:55,21,738672.620379164,738672.648803822
31-May-2022 23:36:41,01-Jun-2022 02:19:14,01-Jun-2022 00:36:41,01-Jun-2022 01:19:14,00:42:32,22,738673.025485818,738673.055023382
01-Jun-2022 13:07:59,01-Jun-2022 15:55:22,01-Jun-2022 14:07:59,01-Jun-2022 14:55:22,00:47:22,23,738673.58888789,738673.621787867
01-Jun-2022 19:49:40,01-Jun-2022 22:09:59,01-Jun-2022 20:49:40,01-Jun-2022 21:09:59,00:20:18,24,738673.867833258,738673.881938358
01-Jun-2022 23:45:01,02-Jun-2022 02:04:42,02-Jun-2022 00:45:01,02-Jun-2022 01:04:42,00:19:40,25,738674.031270474,738674.044933999
02-Jun-2022 04:45:15,02-Jun-2022 07:28:34,02-Jun-2022 05:45:15,02-Jun-2022 06:28:34,00:43:18,26,738674.23976678,738674.269846742
02-Jun-2022 15:47:09,02-Jun-2022 18:12:55,02-Jun-2022 16:47:09,02-Jun-2022 17:12:55,00:25:45,27,738674.699417515,738674.717304419
02-Jun-2022 19:30:02,02-Jun-2022 22:00:02,02-Jun-2022 20:30:02,02-Jun-2022 21:00:02,00:29:59,28,738674.854190421,738674.875023754
02-Jun-2022 21:05:20,02-Jun-2022 23:39:53,02-Jun-2022 22:05:20,02-Jun-2022 22:39:53,00:34:32,29,738674.920373609,738674.944366197
03-Jun-2022 07:24:15,03-Jun-2022 09:59:35,03-Jun-2022 08:24:15,03-Jun-2022 08:59:35,00:35:19,31,738675.350180913,738675.374711224
03-Jun-2022 11:17:55,03-Jun-2022 13:36:46,03-Jun-2022 12:17:55,03-Jun-2022 12:36:46,00:18:50,32,738675.512453441,738675.525537327
03-Jun-2022 14:29:23,03-Jun-2022 17:09:12,03-Jun-2022 15:29:23,03-Jun-2022 16:09:12,00:39:48,33,738675.645412333,738675.673057796
03-Jun-2022 17:02:35,03-Jun-2022 19:35:33,03-Jun-2022 18:02:35,03-Jun-2022 18:35:33,00:32:58,34,738675.751803419,738675.774697276
03-Jun-2022 22:54:09,04-Jun-2022 01:50:28,03-Jun-2022 23:54:09,04-Jun-2022 00:50:28,00:56:18,36,738675.995946174,738676.035051681
04-Jun-2022 04:16:00,04-Jun-2022 06:37:42,04-Jun-2022 05:16:00,04-Jun-2022 05:37:42,00:21:41,37,738676.219454517,738676.234518141
04-Jun-2022 15:30:40,04-Jun-2022 18:06:51,04-Jun-2022 16:30:40,04-Jun-2022 17:06:51,00:36:10,38,738676.687969884,738676.713090853
04-Jun-2022 19:09:00,04-Jun-2022 21:23:26,04-Jun-2022 20:09:00,04-Jun-2022 20:23:26,00:14:26,39,738676.839589541,738676.849612856
04-Jun-2022 21:40:02,05-Jun-2022 00:04:35,04-Jun-2022 22:40:02,04-Jun-2022 23:04:35,00:24:33,40,738676.944468113,738676.961525717
05-Jun-2022 00:26:34,05-Jun-2022 02:41:51,05-Jun-2022 01:26:34,05-Jun-2022 01:41:51,00:15:17,41,738677.060117202,738677.07073209
05-Jun-2022 03:49:38,05-Jun-2022 06:00:42,05-Jun-2022 04:49:38,05-Jun-2022 05:00:42,00:11:03,42,738677.20113823,738677.208821356
05-Jun-2022 22:30:02,06-Jun-2022 00:45:45,05-Jun-2022 23:30:02,05-Jun-2022 23:45:45,00:15:43,43,738677.979190284,738677.990112708
07-Jun-2022 07:10:02,07-Jun-2022 09:47:07,07-Jun-2022 08:10:02,07-Jun-2022 08:47:07,00:37:05,44,738679.340301335,738679.366060745
07-Jun-2022 09:46:42,07-Jun-2022 12:12:54,07-Jun-2022 10:46:42,07-Jun-2022 11:12:54,00:26:11,45,738679.449103284,738679.467293985
07-Jun-2022 18:36:49,07-Jun-2022 21:02:49,07-Jun-2022 19:36:49,07-Jun-2022 20:02:49,00:26:00,46,738679.817236289,738679.835298179
08-Jun-2022 07:20:58,08-Jun-2022 10:00:20,08-Jun-2022 08:20:58,08-Jun-2022 09:00:20,00:39:22,47,738680.347897929,738680.375241339
08-Jun-2022 11:40:32,08-Jun-2022 13:59:03,08-Jun-2022 12:40:32,08-Jun-2022 12:59:03,00:18:30,48,738680.528158651,738680.541011995
08-Jun-2022 13:46:52,08-Jun-2022 16:04:06,08-Jun-2022 14:46:52,08-Jun-2022 15:04:06,00:17:14,49,738680.61588835,738680.627856301
