startSnipped,endSnipped,startEnc,endEnc,encDur,encN,startNumEnc,endNumEnc
10-Mar-0022 07:07:01,10-Mar-2022 09:49:37,10-Mar-0022 08:07:01,10-Mar-2022 08:49:37,00:42:36,1,8105.33820628291,8105.36779533474
10-Mar-0022 09:50:06,10-Mar-2022 12:29:00,10-Mar-0022 10:50:06,10-Mar-2022 11:29:00,00:38:53,2,8105.45146330096,8105.47847261032
10-Mar-0022 14:35:20,10-Mar-2022 17:09:15,10-Mar-0022 15:35:20,10-Mar-2022 16:09:15,00:33:55,3,8105.64954116392,8105.67309587249
11-Mar-0022 00:09:06,11-Mar-2022 02:40:52,11-Mar-0022 01:09:06,11-Mar-2022 01:40:52,00:31:45,4,8106.04799598976,8106.070053344
11-Mar-0022 05:15:38,11-Mar-2022 08:24:59,11-Mar-0022 06:15:38,11-Mar-2022 07:24:59,01:09:21,5,8106.26085892705,8106.30902147723
11-Mar-0022 10:27:38,11-Mar-2022 12:44:59,11-Mar-0022 11:27:38,11-Mar-2022 11:44:59,00:17:21,6,8106.47753212411,8106.48958214039
12-Mar-0022 06:36:43,12-Mar-2022 09:03:46,12-Mar-0022 07:36:43,12-Mar-2022 08:03:46,00:27:02,7,8107.31717308955,8107.33595139902
12-Mar-0022 12:53:38,12-Mar-2022 15:12:25,12-Mar-0022 13:53:38,12-Mar-2022 14:12:25,00:18:47,8,8107.57891677138,8107.59196475279
12-Mar-0022 17:31:46,12-Mar-2022 20:08:20,12-Mar-0022 18:31:46,12-Mar-2022 19:08:20,00:36:33,9,8107.77206403917,8107.79745681568
12-Mar-0022 20:27:25,12-Mar-2022 22:38:25,12-Mar-0022 21:27:25,12-Mar-2022 21:38:25,00:10:59,10,8107.89405052644,8107.90167931831
12-Mar-0022 22:31:54,13-Mar-2022 01:14:42,12-Mar-0022 23:31:54,13-Mar-2022 00:14:42,00:42:47,11,8107.98048713144,8108.01020875949
13-Mar-0022 03:52:02,13-Mar-2022 06:12:19,13-Mar-0022 04:52:02,13-Mar-2022 05:12:19,00:20:16,12,8108.20281238688,8108.21688753554
13-Mar-0022 04:49:04,13-Mar-2022 07:12:19,13-Mar-0022 05:49:04,13-Mar-2022 06:12:19,00:23:15,13,8108.24240759937,8108.25855587891
13-Mar-0022 05:45:40,13-Mar-2022 08:53:43,13-Mar-0022 06:45:40,13-Mar-2022 07:53:43,01:08:02,14,8108.28171806071,8108.32897314119
13-Mar-0022 08:45:05,13-Mar-2022 11:19:39,13-Mar-0022 09:45:05,13-Mar-2022 10:19:39,00:34:34,15,8108.4063082156,8108.43031616555
13-Mar-0022 17:30:19,13-Mar-2022 20:00:43,13-Mar-0022 18:30:19,13-Mar-2022 19:00:43,00:30:23,16,8108.77105774306,8108.79216845278
14-Mar-0022 04:36:01,14-Mar-2022 06:46:47,14-Mar-0022 05:36:01,14-Mar-2022 05:46:47,00:10:45,18,8109.23335528311,8109.24082257785
14-Mar-0022 05:34:25,14-Mar-2022 07:54:21,14-Mar-0022 06:34:25,14-Mar-2022 06:54:21,00:19:55,19,8109.27390284894,8109.28774442618
14-Mar-0022 09:31:21,14-Mar-2022 12:19:55,14-Mar-0022 10:31:21,14-Mar-2022 11:19:55,00:48:34,20,8109.43843985062,8109.47217394956
14-Mar-0022 20:34:24,14-Mar-2022 22:58:53,14-Mar-0022 21:34:24,14-Mar-2022 21:58:53,00:24:29,21,8109.89889057834,8109.9159003049
