startSnipped,endSnipped,startEnc,endEnc,encDur,encN,startNumEnc,endNumEnc
30-Jul-2021 10:10:13,30-Jul-2021 12:39:49,30-Jul-2021 11:10:13,30-Jul-2021 11:39:49,00:29:35,1,738367.465438065,738367.485990116
30-Jul-2021 13:31:57,30-Jul-2021 17:21:41,30-Jul-2021 14:31:57,30-Jul-2021 16:21:41,01:49:44,3,738367.605521275,738367.68172524
30-Jul-2021 18:13:17,30-Jul-2021 21:26:43,30-Jul-2021 19:13:17,30-Jul-2021 20:26:43,01:13:25,4,738367.800902084,738367.851894753
30-Jul-2021 21:55:31,31-Jul-2021 01:08:02,30-Jul-2021 22:55:31,31-Jul-2021 00:08:02,01:12:31,5,738367.955221163,738368.005587893
31-Jul-2021 02:07:23,31-Jul-2021 05:10:06,31-Jul-2021 03:07:23,31-Jul-2021 04:10:06,01:02:43,7,738368.130129761,738368.173689367
31-Jul-2021 05:46:10,31-Jul-2021 08:19:57,31-Jul-2021 06:46:10,31-Jul-2021 07:19:57,00:33:47,8,738368.282062793,738368.305528396
31-Jul-2021 10:16:41,31-Jul-2021 13:02:34,31-Jul-2021 11:16:41,31-Jul-2021 12:02:34,00:45:53,11,738368.469919289,738368.501784606
31-Jul-2021 14:31:09,31-Jul-2021 17:38:52,31-Jul-2021 15:31:09,31-Jul-2021 16:38:52,01:07:43,13,738368.646635363,738368.693667982
31-Jul-2021 17:18:33,31-Jul-2021 19:44:57,31-Jul-2021 18:18:33,31-Jul-2021 18:44:57,00:26:24,14,738368.762890973,738368.781225311
31-Jul-2021 19:40:14,31-Jul-2021 22:47:59,31-Jul-2021 20:40:14,31-Jul-2021 21:47:59,01:07:44,15,738368.861279959,738368.908324894
31-Jul-2021 22:50:00,01-Aug-2021 01:23:29,31-Jul-2021 23:50:00,01-Aug-2021 00:23:29,00:33:28,16,738368.99306107,738369.016310957
01-Aug-2021 04:21:59,01-Aug-2021 06:48:23,01-Aug-2021 05:21:59,01-Aug-2021 05:48:23,00:26:23,18,738369.223608291,738369.241936244
01-Aug-2021 08:10:00,01-Aug-2021 11:24:56,01-Aug-2021 09:10:00,01-Aug-2021 10:24:56,01:14:56,19,738369.381944938,738369.433983369
01-Aug-2021 10:40:27,01-Aug-2021 13:54:53,01-Aug-2021 11:40:27,01-Aug-2021 12:54:53,01:14:26,20,738369.48642539,738369.538117668
01-Aug-2021 14:46:27,01-Aug-2021 17:00:06,01-Aug-2021 15:46:27,01-Aug-2021 16:00:06,00:13:39,21,738369.65725849,738369.666744338
01-Aug-2021 17:29:50,01-Aug-2021 19:47:00,01-Aug-2021 18:29:50,01-Aug-2021 18:47:00,00:17:10,22,738369.770721167,738369.782644121
01-Aug-2021 18:18:12,01-Aug-2021 21:04:40,01-Aug-2021 19:18:12,01-Aug-2021 20:04:40,00:46:28,23,738369.8043132,738369.836585268
01-Aug-2021 21:21:05,01-Aug-2021 23:59:57,01-Aug-2021 22:21:05,01-Aug-2021 22:59:57,00:38:51,24,738369.931318354,738369.958300917
02-Aug-2021 01:20:56,02-Aug-2021 03:39:10,02-Aug-2021 02:20:56,02-Aug-2021 02:39:10,00:18:13,26,738370.097880361,738370.110535426
02-Aug-2021 07:10:02,02-Aug-2021 09:44:59,02-Aug-2021 08:10:02,02-Aug-2021 08:44:59,00:34:57,27,738370.340303546,738370.36458272
02-Aug-2021 10:35:07,02-Aug-2021 12:49:59,02-Aug-2021 11:35:07,02-Aug-2021 11:49:59,00:14:51,28,738370.482729368,738370.493047158
02-Aug-2021 13:10:09,02-Aug-2021 16:34:49,02-Aug-2021 14:10:09,02-Aug-2021 15:34:49,01:24:40,29,738370.590384392,738370.649183447
02-Aug-2021 15:10:07,02-Aug-2021 17:42:53,02-Aug-2021 16:10:07,02-Aug-2021 16:42:53,00:32:45,30,738370.673700312,738370.696454647
02-Aug-2021 17:20:01,02-Aug-2021 19:59:29,02-Aug-2021 18:20:01,02-Aug-2021 18:59:29,00:39:27,31,738370.763904433,738370.791311237
02-Aug-2021 19:36:43,02-Aug-2021 22:54:30,02-Aug-2021 20:36:43,02-Aug-2021 21:54:30,01:17:46,32,738370.858835868,738370.912851133
02-Aug-2021 23:47:02,03-Aug-2021 02:04:59,03-Aug-2021 00:47:02,03-Aug-2021 01:04:59,00:17:56,33,738371.032672205,738371.045136936
03-Aug-2021 01:44:59,03-Aug-2021 04:37:55,03-Aug-2021 02:44:59,03-Aug-2021 03:37:55,00:52:55,34,738371.11458198,738371.151334718
03-Aug-2021 11:27:18,03-Aug-2021 15:33:12,03-Aug-2021 12:27:18,03-Aug-2021 14:33:12,02:05:54,36,738371.51896312,738371.606396728
03-Aug-2021 15:23:37,03-Aug-2021 18:03:08,03-Aug-2021 16:23:37,03-Aug-2021 17:03:08,00:39:30,37,738371.683068405,738371.710510437
03-Aug-2021 18:12:20,03-Aug-2021 21:30:18,03-Aug-2021 19:12:20,03-Aug-2021 20:30:18,01:17:57,39,738371.800239096,738371.854379431
03-Aug-2021 20:57:25,03-Aug-2021 23:25:05,03-Aug-2021 21:57:25,03-Aug-2021 22:25:05,00:27:39,40,738371.914883661,738371.934086093
03-Aug-2021 22:47:02,04-Aug-2021 01:52:55,03-Aug-2021 23:47:02,04-Aug-2021 00:52:55,01:05:52,41,738371.991001573,738372.036752869
04-Aug-2021 01:45:52,04-Aug-2021 04:28:59,04-Aug-2021 02:45:52,04-Aug-2021 03:28:59,00:43:07,42,738372.115185928,738372.145138385
04-Aug-2021 04:05:52,04-Aug-2021 06:59:59,04-Aug-2021 05:05:52,04-Aug-2021 05:59:59,00:54:07,43,738372.212411458,738372.249995183
04-Aug-2021 08:55:54,04-Aug-2021 12:31:17,04-Aug-2021 09:55:54,04-Aug-2021 11:31:17,01:35:23,44,738372.413820665,738372.480067896
04-Aug-2021 12:12:05,04-Aug-2021 15:13:49,04-Aug-2021 13:12:05,04-Aug-2021 14:13:49,01:01:43,45,738372.550064313,738372.592932224
04-Aug-2021 15:11:40,04-Aug-2021 17:29:02,04-Aug-2021 16:11:40,04-Aug-2021 16:29:02,00:17:21,46,738372.674771617,738372.686830802
04-Aug-2021 18:02:12,04-Aug-2021 20:34:56,04-Aug-2021 19:02:12,04-Aug-2021 19:34:56,00:32:43,47,738372.793201566,738372.815926146
04-Aug-2021 19:45:17,04-Aug-2021 23:06:13,04-Aug-2021 20:45:17,04-Aug-2021 22:06:13,01:20:56,48,738372.864780567,738372.920992586
04-Aug-2021 22:23:08,05-Aug-2021 00:34:38,04-Aug-2021 23:23:08,04-Aug-2021 23:34:38,00:11:29,49,738372.974409429,738372.982385751
04-Aug-2021 23:20:37,05-Aug-2021 01:47:57,05-Aug-2021 00:20:37,05-Aug-2021 00:47:57,00:27:20,50,738373.014319053,738373.03330279
05-Aug-2021 05:12:35,05-Aug-2021 08:02:15,05-Aug-2021 06:12:35,05-Aug-2021 07:02:15,00:49:39,52,738373.258745271,738373.293232383
05-Aug-2021 07:10:00,05-Aug-2021 10:58:46,05-Aug-2021 08:10:00,05-Aug-2021 09:58:46,01:48:45,53,738373.340285148,738373.415811904
05-Aug-2021 09:34:29,05-Aug-2021 13:38:13,05-Aug-2021 10:34:29,05-Aug-2021 12:38:13,02:03:44,54,738373.440617664,738373.526545125
05-Aug-2021 12:35:10,05-Aug-2021 15:36:47,05-Aug-2021 13:35:10,05-Aug-2021 14:36:47,01:01:36,55,738373.566098147,738373.608882167
05-Aug-2021 15:42:34,05-Aug-2021 18:46:33,05-Aug-2021 16:42:34,05-Aug-2021 17:46:33,01:03:59,56,738373.696231612,738373.740669618
05-Aug-2021 18:12:36,05-Aug-2021 20:49:16,05-Aug-2021 19:12:36,05-Aug-2021 19:49:16,00:36:39,57,738373.800423741,738373.825880073
05-Aug-2021 20:51:48,05-Aug-2021 23:37:29,05-Aug-2021 21:51:48,05-Aug-2021 22:37:29,00:45:41,58,738373.910973269,738373.942707785
05-Aug-2021 23:15:09,06-Aug-2021 02:14:10,06-Aug-2021 00:15:09,06-Aug-2021 01:14:10,00:59:00,59,738374.010531241,738374.05150828
06-Aug-2021 04:35:15,06-Aug-2021 06:54:44,06-Aug-2021 05:35:15,06-Aug-2021 05:54:44,00:19:29,62,738374.232815227,738374.246351753
06-Aug-2021 05:57:02,06-Aug-2021 08:31:03,06-Aug-2021 06:57:02,06-Aug-2021 07:31:03,00:34:01,63,738374.289606706,738374.313232735
06-Aug-2021 10:00:08,06-Aug-2021 13:13:21,06-Aug-2021 11:00:08,06-Aug-2021 12:13:21,01:13:12,64,738374.458435989,738374.509270901
06-Aug-2021 13:46:55,06-Aug-2021 16:23:33,06-Aug-2021 14:46:55,06-Aug-2021 15:23:33,00:36:38,65,738374.615918716,738374.641361637
06-Aug-2021 16:20:05,06-Aug-2021 19:46:27,06-Aug-2021 17:20:05,06-Aug-2021 18:46:27,01:26:21,66,738374.722290109,738374.782260257
06-Aug-2021 20:11:32,06-Aug-2021 23:08:49,06-Aug-2021 21:11:32,06-Aug-2021 22:08:49,00:57:16,67,738374.883016357,738374.92279068
06-Aug-2021 21:56:46,07-Aug-2021 01:29:29,06-Aug-2021 22:56:46,07-Aug-2021 00:29:29,01:32:43,68,738374.956093588,738375.020482075
07-Aug-2021 00:36:46,07-Aug-2021 03:59:24,07-Aug-2021 01:36:46,07-Aug-2021 02:59:24,01:22:38,69,738375.067199775,738375.124593673
07-Aug-2021 02:54:27,07-Aug-2021 05:15:47,07-Aug-2021 03:54:27,07-Aug-2021 04:15:47,00:21:20,70,738375.162812771,738375.177635096
07-Aug-2021 05:20:40,07-Aug-2021 07:54:45,07-Aug-2021 06:20:40,07-Aug-2021 06:54:45,00:34:05,71,738375.264357901,738375.288027562
07-Aug-2021 08:23:42,07-Aug-2021 10:50:30,07-Aug-2021 09:23:42,07-Aug-2021 09:50:30,00:26:48,72,738375.391458626,738375.410071152
07-Aug-2021 14:40:36,07-Aug-2021 17:53:52,07-Aug-2021 15:40:36,07-Aug-2021 16:53:52,01:13:15,74,738375.653200061,738375.704074726
07-Aug-2021 20:02:06,07-Aug-2021 22:31:52,07-Aug-2021 21:02:06,07-Aug-2021 21:31:52,00:29:45,75,738375.876468006,738375.897132059
07-Aug-2021 22:28:50,08-Aug-2021 01:02:01,07-Aug-2021 23:28:50,08-Aug-2021 00:02:01,00:33:11,76,738375.978357735,738376.001403384
08-Aug-2021 00:47:30,08-Aug-2021 04:14:51,08-Aug-2021 01:47:30,08-Aug-2021 03:14:51,01:27:20,77,738376.074663923,738376.135319536
08-Aug-2021 03:59:43,08-Aug-2021 06:59:59,08-Aug-2021 04:59:43,08-Aug-2021 05:59:59,01:00:15,78,738376.208140222,738376.249990596
08-Aug-2021 14:25:44,08-Aug-2021 17:41:05,08-Aug-2021 15:25:44,08-Aug-2021 16:41:05,01:15:21,79,738376.642872196,738376.69520278
08-Aug-2021 17:27:38,08-Aug-2021 19:44:24,08-Aug-2021 18:27:38,08-Aug-2021 18:44:24,00:16:45,80,738376.769198803,738376.780836592
08-Aug-2021 20:58:02,09-Aug-2021 00:04:35,08-Aug-2021 21:58:02,08-Aug-2021 23:04:35,01:06:32,81,738376.915309632,738376.961518808
09-Aug-2021 00:10:05,09-Aug-2021 02:29:40,09-Aug-2021 01:10:05,09-Aug-2021 01:29:40,00:19:35,82,738377.048669682,738377.062271
09-Aug-2021 03:13:12,09-Aug-2021 05:42:11,09-Aug-2021 04:13:12,09-Aug-2021 04:42:11,00:28:59,83,738377.175833696,738377.195964454
09-Aug-2021 05:05:32,09-Aug-2021 07:51:47,09-Aug-2021 06:05:32,09-Aug-2021 06:51:47,00:46:15,84,738377.253846882,738377.285965012
09-Aug-2021 08:06:22,09-Aug-2021 10:30:22,09-Aug-2021 09:06:22,09-Aug-2021 09:30:22,00:24:00,85,738377.379422303,738377.396091365
09-Aug-2021 11:27:09,09-Aug-2021 14:24:10,09-Aug-2021 12:27:09,09-Aug-2021 13:24:10,00:57:00,86,738377.5188655,738377.55845594
09-Aug-2021 15:06:01,09-Aug-2021 17:36:15,09-Aug-2021 16:06:01,09-Aug-2021 16:36:15,00:30:13,87,738377.670856472,738377.691843319
09-Aug-2021 17:23:59,09-Aug-2021 20:19:31,09-Aug-2021 18:23:59,09-Aug-2021 19:19:31,00:55:32,88,738377.766656243,738377.805229458
09-Aug-2021 22:41:42,10-Aug-2021 01:40:06,09-Aug-2021 23:41:42,10-Aug-2021 00:40:06,00:58:23,90,738377.987301624,738378.02784948
10-Aug-2021 02:46:59,10-Aug-2021 05:29:56,10-Aug-2021 03:46:59,10-Aug-2021 04:29:56,00:42:57,91,738378.157638109,738378.187465208
10-Aug-2021 08:50:07,10-Aug-2021 11:24:58,10-Aug-2021 09:50:07,10-Aug-2021 10:24:58,00:34:51,92,738378.409807872,738378.434009473
10-Aug-2021 12:14:03,10-Aug-2021 15:54:04,10-Aug-2021 13:14:03,10-Aug-2021 14:54:04,01:40:01,93,738378.551425675,738378.620890484
10-Aug-2021 15:33:28,10-Aug-2021 18:07:35,10-Aug-2021 16:33:28,10-Aug-2021 17:07:35,00:34:06,94,738378.689914954,738378.713603944
10-Aug-2021 22:38:07,11-Aug-2021 00:49:36,10-Aug-2021 23:38:07,10-Aug-2021 23:49:36,00:11:28,95,738378.984808024,738378.992781814
10-Aug-2021 23:22:37,11-Aug-2021 01:40:52,11-Aug-2021 00:22:37,11-Aug-2021 00:40:52,00:18:14,96,738379.015711701,738379.028380998
11-Aug-2021 01:40:00,11-Aug-2021 04:16:18,11-Aug-2021 02:40:00,11-Aug-2021 03:16:18,00:36:17,97,738379.111121134,738379.136329054
11-Aug-2021 04:40:18,11-Aug-2021 07:49:57,11-Aug-2021 05:40:18,11-Aug-2021 06:49:57,01:09:39,98,738379.236322294,738379.28469217
11-Aug-2021 08:10:00,11-Aug-2021 10:47:07,11-Aug-2021 09:10:00,11-Aug-2021 09:47:07,00:37:07,99,738379.381948643,738379.407730038
