year,month,total_mins,effort_pct,mins_eff_adj,month_date
2021,7,589.4833333333333,0.41935483870967744,1405.6910256410256,2021-07-01T12:00:00Z
2021,8,8117.066666666665,1,8117.066666666665,2021-08-01T12:00:00Z
2021,9,3529.5499999999975,1,3529.5499999999975,2021-09-01T12:00:00Z
2021,10,6593.250000000003,1,6593.250000000003,2021-10-01T12:00:00Z
2021,11,6920.866666666669,1,6920.866666666669,2021-11-01T12:00:00Z
2021,12,7336.9000000000015,1,7336.9000000000015,2021-12-01T12:00:00Z
2022,1,2973.45,0.7096774193548387,4189.861363636363,2022-01-01T12:00:00Z
2022,3,3974.8333333333326,0.7096774193548387,5600.901515151514,2022-03-01T12:00:00Z
2022,4,5954.1833333333325,1,5954.1833333333325,2022-04-01T12:00:00Z
2022,5,5360.833333333335,1,5360.833333333335,2022-05-01T12:00:00Z
2022,6,4184.75,1,4184.75,2022-06-01T12:00:00Z
2022,7,5985.933333333333,1,5985.933333333333,2022-07-01T12:00:00Z
2022,8,5985.099999999998,1,5985.099999999998,2022-08-01T12:00:00Z
2022,9,3850.8833333333337,1,3850.8833333333337,2022-09-01T12:00:00Z
2022,10,7492.616666666668,0.9354838709677419,8009.348850574715,2022-10-01T12:00:00Z
2022,11,8936.616666666665,1,8936.616666666665,2022-11-01T12:00:00Z
2022,12,7973.900000000005,1,7973.900000000005,2022-12-01T12:00:00Z
2023,1,7551.95,1,7551.95,2023-01-01T12:00:00Z
2023,2,6683.266666666669,1,6683.266666666669,2023-02-01T12:00:00Z
2023,3,8597.699999999999,1,8597.699999999999,2023-03-01T12:00:00Z
2023,4,6522.949999999998,1,6522.949999999998,2023-04-01T12:00:00Z
2023,5,5655.000000000001,1,5655.000000000001,2023-05-01T12:00:00Z
2023,6,4872.95,1,4872.95,2023-06-01T12:00:00Z
2023,7,7646.5999999999995,1,7646.5999999999995,2023-07-01T12:00:00Z
2023,8,3758.633333333334,1,3758.633333333334,2023-08-01T12:00:00Z
2023,9,3437.9500000000003,0.7666666666666667,4484.282608695652,2023-09-01T12:00:00Z
